;cidade;codigo_municipio;codigo_orgao;nome_orgao;ano;1;2;3;4;5;6;7;8;9;10;11;12
52;Caldas Novas;45;15;FUNDO MUNICIPAL DE SEGURANÇA PÚBLICA;2023;1;1;1;1;0;0;0;0;0;0;0;0
53;Caldas Novas;45;3;PODER EXECUTIVO;2023;1;1;0;0;0;0;0;0;0;0;0;0
54;Caldas Novas;45;1;PODER LEGISLATIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
55;Guapo;103;8;FMAS;2023;1;1;1;1;0;0;0;0;0;0;0;0
56;Guapo;103;9;FMI - FUNDO MUNICIPAL DA PESSOA IDOSA;2023;1;1;1;1;0;0;0;0;0;0;0;0
57;Guapo;103;18;FMMA;2023;1;1;1;1;0;0;0;0;0;0;0;0
58;Guapo;103;6;FMS;2023;1;1;1;1;0;0;0;0;0;0;0;0
59;Guapo;103;4;FUNDEF/FUNDEB;2023;1;1;1;1;0;0;0;0;0;0;0;0
60;Guapo;103;7;GUAPO - FMCA;2023;1;1;1;1;0;0;0;0;0;0;0;0
61;Guapo;103;5;GUAPO - FUMPREVIG;2023;1;1;1;1;0;0;0;0;0;0;0;0
62;Guapo;103;3;PODER EXECUTIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
63;Guapo;103;2;PODER LEGISLATIVO;2023;1;1;1;1;1;0;0;0;0;0;0;0
64;Montividiu;158;17;FMAS;2023;1;1;1;1;1;0;0;0;0;0;0;0
65;Montividiu;158;20;FMHIS;2023;1;1;1;1;1;0;0;0;0;0;0;0
66;Montividiu;158;16;FMS;2023;1;1;1;1;1;0;0;0;0;0;0;0
67;Montividiu;158;12;FUNDEF/FUNDEB;2023;1;1;1;1;1;0;0;0;0;0;0;0
68;Montividiu;158;19;MONTIVIDIU - FMCA;2023;1;1;1;1;1;0;0;0;0;0;0;0
69;Montividiu;158;18;MONTIVIDIU - FMMA;2023;1;1;1;1;1;0;0;0;0;0;0;0
70;Montividiu;158;13;MONTIVIDIU - IPAM;2023;1;1;1;1;1;1;1;1;1;1;1;1
71;Montividiu;158;15;MONTIVIDIU - PREVIM;2023;1;1;1;1;1;0;0;0;0;0;0;0
72;Montividiu;158;21;MONTIVIDIU FME;2023;1;1;1;1;1;0;0;0;0;0;0;0
73;Montividiu;158;10;PODER EXECUTIVO;2023;1;1;1;1;1;0;0;0;0;0;0;0
74;Montividiu;158;11;PODER LEGISLATIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
75;Iporá;113;20;FEMBOM;2023;1;1;1;1;0;0;0;0;0;0;0;0
76;Iporá;113;9;FMDI - FUNDO MUNICIPAL DE DIREITOS DO IDOSO;2023;1;1;1;1;0;0;0;0;0;0;0;0
77;Iporá;113;21;FMIC;2023;1;1;1;1;0;0;0;0;0;0;0;0
78;Iporá;113;13;FMS;2023;1;1;1;1;0;0;0;0;0;0;0;0
79;Iporá;113;8;FMSB - FUNDO MUNICIPAL DE SANEAMENTO BASICO;2023;1;1;1;1;0;0;0;0;0;0;0;0
80;Iporá;113;12;FUNDEF/FUNDEB;2023;1;1;1;1;0;0;0;0;0;0;0;0
81;Iporá;113;17;FUNDO MUNICIPAL DA INFANCIA E DA ADOLESCENCIA;2023;1;1;1;1;0;0;0;0;0;0;0;0
82;Iporá;113;14;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;2023;1;1;1;1;0;0;0;0;0;0;0;0
83;Iporá;113;16;FUNDO MUNICIPAL DE EDUCACAO - FME;2023;1;1;1;1;0;0;0;0;0;0;0;0
84;Iporá;113;18;FUNDO MUNICIPAL DO MEIO AMBIENTE;2023;1;1;1;1;0;0;0;0;0;0;0;0
85;Iporá;113;19;IPORA - HMI;2023;1;1;1;1;1;1;1;1;1;1;1;1
86;Iporá;113;15;IPORA - IPASI;2023;1;1;1;1;0;0;0;0;0;0;0;0
87;Iporá;113;10;PODER EXECUTIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
88;Iporá;113;11;PODER LEGISLATIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
89;Anápolis;11;16;ANAPOLIS - FMDC;2023;1;1;1;1;1;0;0;0;0;0;0;0
90;Anápolis;11;12;ANAPOLIS - FMDU;2023;1;1;1;1;1;0;0;0;0;0;0;0
91;Anápolis;11;13;ANAPOLIS - FMH;2023;1;1;1;1;1;0;0;0;0;0;0;0
92;Anápolis;11;11;ANAPOLIS - FMMA;2023;1;1;1;1;1;0;0;0;0;0;0;0
93;Anápolis;11;15;ANAPOLIS - FMRCB;2023;1;1;1;1;1;0;0;0;0;0;0;0
94;Anápolis;11;17;ANAPOLIS - FMRPGMA;2023;1;1;1;1;1;0;0;0;0;0;0;0
